,country,att,mid,def,ovr,year
0,Argentina,86,85,87,85,2005
1,Argentina,87,81,85,83,2006
2,Argentina,87,80,79,83,2007
3,Argentina,85,80,80,83,2008
4,Argentina,87,84,82,84,2009
5,Argentina,87,79,78,83,2010
6,Argentina,85,81,80,83,2011
7,Argentina,89,80,76,82,2012
8,Argentina,85,80,78,82,2013
9,Argentina,85,82,79,82,2014
10,Argentina,86,80,81,82,2015
11,Argentina,88,80,77,82,2016
12,Argentina,87,83,80,83,2017
13,Argentina,87,80,80,82,2018
14,Argentina,83,81,79,81,2019
15,Argentina,85,81,79,82,2020
16,Argentina,86,82,80,83,2021
17,Argentina,86,81,81,83,2022
18,Australia,85,74,72,76,2005
19,Australia,83,73,72,76,2006
20,Australia,80,77,73,76,2007
21,Australia,77,74,74,74,2008
22,Australia,75,75,74,74,2009
23,Australia,75,74,73,75,2010
24,Australia,76,73,72,73,2011
25,Australia,74,70,71,71,2012
26,Australia,68,69,68,70,2013
27,Australia,72,70,65,69,2014
28,Australia,71,70,66,69,2015
29,Australia,71,72,69,72,2016
30,Australia,71,71,72,72,2017
31,Australia,69,73,71,73,2018
32,Australia,70,74,72,73,2019
33,Australia,72,72,70,72,2020
34,Australia,71,71,71,72,2021
35,Australia,75,69,71,70,2022
36,Austria,74,65,69,68,2005
37,Austria,70,67,73,71,2006
38,Austria,70,69,71,73,2007
39,Austria,73,71,70,71,2008
40,Austria,69,71,75,73,2009
41,Austria,72,71,73,73,2010
42,Austria,73,69,73,73,2011
43,Austria,75,74,73,73,2012
44,Austria,73,75,74,74,2013
45,Austria,72,74,71,73,2014
46,Austria,71,74,74,74,2015
47,Austria,73,77,76,75,2016
48,Austria,78,77,77,77,2017
49,Austria,80,77,75,77,2018
50,Austria,82,77,76,77,2019
51,Austria,83,78,77,78,2020
52,Austria,81,78,78,77,2021
53,Austria,79,78,78,77,2022
54,Belgium,74,75,71,73,2005
55,Belgium,76,75,71,73,2006
56,Belgium,74,76,78,75,2007
57,Belgium,74,74,74,73,2008
58,Belgium,74,74,74,73,2009
59,Belgium,76,78,77,76,2010
60,Belgium,77,78,79,77,2011
61,Belgium,80,78,80,78,2012
62,Belgium,79,79,79,80,2013
63,Belgium,75,81,79,81,2014
64,Belgium,80,81,77,81,2015
65,Belgium,80,82,77,81,2016
66,Belgium,85,83,84,84,2017
67,Belgium,86,83,85,84,2018
68,Belgium,85,83,86,84,2019
69,Belgium,88,83,82,84,2020
70,Belgium,85,83,80,83,2021
71,Belgium,83,82,80,83,2022
72,Bolivia,71,64,65,66,2013
73,Bolivia,68,57,63,63,2014
74,Bolivia,71,64,67,67,2015
75,Bolivia,61,65,65,65,2016
76,Bolivia,71,67,66,67,2017
77,Bolivia,75,66,66,67,2018
78,Bolivia,67,66,65,67,2019
79,Bolivia,69,67,67,68,2020
80,Bolivia,59,66,66,66,2021
81,Brazil,92,88,87,88,2005
82,Brazil,92,89,86,89,2006
83,Brazil,87,84,80,85,2007
84,Brazil,83,84,80,84,2008
85,Brazil,85,83,82,84,2009
86,Brazil,86,80,83,84,2010
87,Brazil,82,81,82,83,2011
88,Brazil,84,80,84,83,2012
89,Brazil,83,81,82,82,2013
